Year,Code,Course,Organization,Type,Trainer,Competencies
2016,2016_C08,Internet in Future,Türk Telekom Academy,F2F,-,digital trends awareness
2016,2016_C07,Be the Coach of Your Life,Türk Telekom Academy,F2F,-,self-coaching & goal setting
2016,2016_C06,What is Written in the Notebooks of Successful People?,Türk Telekom Academy,F2F,Bar?? Özcan,reflective thinking & personal development
2016,2016_C05,Telecommunication Technologies,Türk Telekom Academy,F2F,-,technology literacy
2016,2016_C04,Storytelling in Speech,Türk Telekom Academy,F2F,-,storytelling & public speaking
2016,2016_C03,Rythm Motivation Workshop,M3 Works,F2F,-,motivation & group dynamics
2016,2016_C02,Mobile Photography,M3 Works,F2F,-,creative skills
2016,2016_C01,Erasmus+ Digital Timelines Project PDM Trainer Training,Genç Ya?amin Sesleri Association,F2F,Mehmet ?anl?,training design & project-based learning
2015,2015_C02,English Language,Samsun British Culture Schools,F2F,Allen Colombo et al.,language learning
2015,2015_C01,Diction,Atakum Public Education Center,F2F,-,articulation & verbal clarity
2013,2013_C02,Career Coaching,Samsun Rotary Club,F2F,-,coaching skills & career guidance
2013,2013_C01,Life's Simpler with Internet Master Trainer Training,Habitat Association & TTNET,F2F,Dr. It?r Akdo?an & Hande Gürsoy,digital facilitation & internet literacy
2012,2012_C02,Building a CV,Turkcell Akademi,F2F,-,career branding & self-presentation
2012,2012_C01,Dü?ler Atölyesi Volunteer Training,TEGV Samsun EP,F2F,-,volunteering
2011,2011_C01,Okuyorum Oynuyorum Volunteer Training,TEGV Samsun EP,F2F,-,volunteering
2010,2010_C04,Design Your Future Trainer Training,Habitat Association & Microsoft,F2F,Saliha E?dir & Demirkan Demir,facilitation & youth training & career guidance
2010,2010_C03,Sales & Marketing,Garanti Bonus Akademisi,Online - Synch,Sinan Ergin et al.,sales fundamentals & marketing principles
2010,2010_C02,I Can Manage My Money,Habitat Association & VISA,F2F,Demirkan Demir,financial literacy & budgeting
2010,2010_C01,Bilgi Benim ??im Volunteer Training,TEGV Samsun EP,F2F,-,volunteering
2009,2009_C02,Learning Approaches and Models,TEGV,F2F,Gülhan?m Civeleko?lu,learning theories & instructional design
2009,2009_C01,Communication,TEGV,F2F,Gülhan?m Civeleko?lu,communication
